"cell_id","UMAP_1","UMAP_2","label1","label2","label3"
"32255",-3.88075292788889,-4.74439269617575,"Neuron","TEPN","TEGLU Mix"
"32256",-5.89792192660715,-5.32020789698141,"Mix","Mix","Mix"
"32257",-3.04878843509104,-6.44691783503073,"Neuron","TEPN","TEGLU Mix"
"32258",-4.41353667460825,-3.57240635469931,"Neuron","TEPN","TEGLU L5/6"
"32259",-3.91736496173289,-5.25992995813864,"Neuron","TEPN","TEGLU CA1"
"32260",-7.96441066943552,-10.2891142995693,"Neuron","TEPN","DGGRC"
"32261",-6.82729709826853,-9.92018920496481,"Neuron","TEPN","DGGRC"
"32262",-4.47115576945688,-6.61653501108664,"Neuron","TEPN","DGGRC"
"32263",-7.19832266055491,-10.1034806402065,"Neuron","TEPN","DGGRC"
"32264",-7.42015922747996,-10.8126500280239,"Neuron","TEPN","DGGRC"
"32265",-6.57543886386301,-9.02861816004294,"Neuron","TEPN","DGGRC"
"32266",-7.79808128558542,-10.9785979421474,"Neuron","TEPN","DGGRC"
"32267",-7.33876360141184,-10.8872254522182,"Neuron","TEPN","DGGRC"
"32268",-9.15970457278635,-10.6349394948818,"Neuron","TEPN","DGGRC"
"32269",-9.33411825381663,-10.6139777334072,"Neuron","TEPN","DGGRC"
"32270",-6.41391218387034,-9.24015170649069,"Neuron","TEPN","DGGRC"
"32271",-8.19425810061838,-10.3395970495083,"Neuron","TEPN","DGGRC"
