"cell_id","UMAP_1","UMAP_2","label1","label2","label3"
"31992",-8.90701711856272,-3.81328684404867,"Neuron","CHO/PEP","CHO/PEP"
"31993",-8.67508352481272,-3.64405995920675,"Neuron","CHO/PEP","CHO/PEP"
"31994",-8.86371362887766,-3.94201165750998,"Neuron","CHO/PEP","CHO/PEP"
"31995",-8.86622656070139,-3.76716929987448,"Neuron","CHO/PEP","CHO/PEP"
"31996",-8.96925104342844,-3.85735947206991,"Neuron","CHO/PEP","CHO/PEP"
"31997",-8.87140978061106,-3.86239797190207,"Neuron","CHO/PEP","CHO/PEP"
"31998",-8.74936617099192,-3.87776571825522,"Neuron","CHO/PEP","CHO/PEP"
"31999",-8.81438291751292,-3.94097024515646,"Neuron","CHO/PEP","CHO/PEP"
"32000",-8.8853162594929,-3.88923651293295,"Neuron","CHO/PEP","CHO/PEP"
"32001",-8.922588712801,-3.91988379076498,"Neuron","CHO/PEP","CHO/PEP"
"32002",-8.91872060977366,-3.78410798624533,"Neuron","CHO/PEP","CHO/PEP"
"32003",-8.95005167209055,-3.80560332849997,"Neuron","CHO/PEP","CHO/PEP"
"32004",-8.4474796124592,-3.81409937456625,"Neuron","CHO/PEP","CHO/PEP"
"32005",-8.9173625775471,-3.76444822863119,"Neuron","CHO/PEP","CHO/PEP"
"32006",-3.70148671351816,-3.02313882425802,"Mix","Mix","Mix"
"32007",-8.76535547458079,-3.94674712732809,"Neuron","CHO/PEP","CHO/PEP"
"32008",0.92933451450918,12.5462328760288,"Mix","Mix","Mix"
"32009",0.852931135068872,14.1188208429478,"Non_Neuron","OLG","OLG2"
"32010",-8.7229398556843,-3.94893223360556,"Neuron","CHO/PEP","CHO/PEP"
"32011",-8.87693346225169,-3.71614080980795,"Neuron","CHO/PEP","CHO/PEP"
"32012",-9.06671369754221,-3.68843990877646,"Neuron","CHO/PEP","CHO/PEP"
"32013",-8.30378616534617,-3.7116864354946,"Neuron","CHO/PEP","CHO/PEP"
"32014",5.16586601055715,17.0021159021519,"Non_Neuron","OLG","OLG1"
"32015",-8.98718488894846,-3.84300166681784,"Neuron","CHO/PEP","CHO/PEP"
"32016",-8.95438993655588,-3.68404537752646,"Neuron","CHO/PEP","CHO/PEP"
"32017",-8.81783426486399,-3.93169385508078,"Neuron","CHO/PEP","CHO/PEP"
"32018",-8.71252954684641,-3.08562070444601,"Neuron","CHO/PEP","CHO/PEP"
"32019",2.90101563252065,15.4360453455113,"Non_Neuron","OLG","OLG2"
"32020",-11.0017541714802,10.6138760416172,"Non_Neuron","VAS","VLMC"
"32021",-11.6036990948811,10.3916355936192,"Non_Neuron","VAS","VLMC"
"32022",-8.99529302798655,-3.76458603456991,"Neuron","CHO/PEP","CHO/PEP"
"32023",-11.1811097928181,10.8291775552891,"Non_Neuron","VAS","VLMC"
"32024",-8.9571346112385,-3.74287635401266,"Mix","Mix","Mix"
"32025",-7.43461645327952,-3.66484648302572,"Neuron","CHO/PEP","CHO/PEP"
